Name,GameGrin,Wired UK,Vgames,CD-Action,PLAY! Zine,Nintendo Force Magazine,App Trigger,RPGamer,LEVEL (Czech Republic),Vooks,Post Arcade (National Post),GameOver.gr,GameSpew,Games.cz,GRYOnline.pl,Universo Nintendo,Impulsegamer,GameCritics,Nintendo Enthusiast,Twinfinite,TrueGaming,ZTGD,Areajugones,Critical Hit,Pocket Gamer UK,Digitally Downloaded,New York Daily News,M3,The Sydney Morning Herald,Let's Play Video Games,Digital Spy,Cubed3,Atomix,Forbes,DualShockers,Yahoo!,Cheat Code Central,The Daily Dot,Trusted Reviews,GamesBeat,COGconnected,The Digital Fix,Telegraph,IBTimes UK,Digital Chumps,SpazioGames,Meristation,Game Revolution,USgamer,Game Rant,GamingTrend,Giant Bomb,Guardian,Game Informer,Polygon,GamesRadar+,RPG Site,Nintendo Life,3DJuegos,FNintendo,Gamer.nl,GameSpot,God is a Geek,IGN,Metro GameCentral,Stevivor,Time,Attack of the Fanboy,Destructoid,Edge Magazine,GameCrate,LevelUp,Wccftech,XGN,The Games Machine,IGN Spain,Hobby Consolas,Multiplayer.it,Games Master UK,Switch Player,RPG Fan,IGN Italia,NintendoWorldReport,NZGamer,JeuxActu,EGM,CGMagazine,Vandal,GamePro Germany,Game World Navigator Magazine,InsideGamer.nl,4Players.de,games(TM),DarkStation,Hardcore Gamer,Arcade Sushi,Washington Post,VideoGamer,Everyeye.it,Shacknews,Gameblog.fr,Easy Allies,TheSixthAxis,We Got This Covered,Eurogamer Italy,New Game Network,The Jimquisition,Gamer.no,Slant Magazine,Ars Technica,Eurogamer,Glixel,Kotaku,Mashable,The Verge,Vice,Wired,IGN Japan,FANDOM,Gameplanet,DarkZero,Gaming Age,GameSpace,AusGamers,Game Over Online,Power Unlimited,Merlin'in Kazanı (Turkey),Riot Pixels,Video Chums,Metro Montreal,Toronto Sun,Worth Playing,Digital Trends,CNET,The A.V. Club,Tired Old Hack,VG247,PC Games,SECTOR.sk,Nintenduo,Shindig,But Why Tho?,Noisy Pixel,The Mako Reactor,Pure Nintendo,Nintendojo,Gamezebo,Nintendo Insider,NME,TouchArcade,Nintenderos,Starbit,Pocket Tactics,Movies Games and Tech,VGC,Comicbook.com,GGRecon,PCMag,Dexerto,Eurogamer Germany,Gamereactor Finland,Gamereactor Spain,Screen Rant,GAMINGbible,Checkpoint Gaming,INVEN,Press Start Australia,Siliconera,TierraGamer,My Nintendo News,GameSkinny,GAMES.CH,Gamereactor UK,GamingBolt,IGN Adria,Jeuxvideo.com,TheGamer,WellPlayed,Gfinity,Player 2,Ninty Fresh Magazine,BaziCenter,Hey Poor Player,GameMAG,Daily Star,Cultured Vultures,Finger Guns,The Escapist,Gamersky,PlayGround.ru,Variety,The Indie Game Website,Gaming Nexus,Malditos Nerds,Carole Quintaine,MGG,MMORPG.com,British GQ,KeenGamer,Tech-Gaming,IGN Portugal,iMore,MGG Spain,Het Nieuwsblad,Launcher (The Washington Post),GameByte,IGN France,Softpedia,GamesHub,The Enemy,Oyungezer,Gamepressure,The Independent,GamersRD,Inverse,PlaySense,The Loadout,Gamers Heroes,IndieWire,Gamer Escape,NPR,Quarter to Three,Gamers' Temple,The So Videogames Podcast,T3,IGN Brasil,Buried Treasure,Gamereactor Sweden,Gamereactor Norway,Gamereactor Denmark,Eurogamer Poland,Strategy Gamer,UploadVR
undertale,,,,,,95.0,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,,,90,,,,,,,,,,,,,,,,,,100.0,95,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-smash-bros-ultimate,,,95.0,95.0,95.0,100.0,,,,100,,100.0,90.0,100.0,,,100.0,,95.0,100,90.0,95.0,100,90.0,,90.0,100.0,90.0,95.0,,,80.0,95.0,,90,,100.0,90,80,90,90.0,100,80,,,97,90,90.0,90,90.0,95.0,...,100,95,...,90.0,,100,95,90.0,90,90,100,94,90,95,...,70.0,95,90.0,90,97.0,94,97.0,93,95.0,95,94,,,,90.0,90,,80.0,95,90.0,100,92.0,93.0,95.0,87,,,90.0,,,90,93,90,90.0,90.0,100,80.0,100,88.0,...,,90.0,...,...,,...,...,...,...,,,100.0,90.0,,,,98.0,,100.0,89.0,,89.0,,,95.0,90.0,,,,...,,,,,,,,,91.0,,100,,,93,,,,,,,,,,,,90,,,,100,,,90,,,,,,95.0,,,,,,95.0,,,,,,100.0,95.0,90.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celeste,,,90.0,,,90.0,,,,100,,,,,,,,85.0,,90,95.0,,100,,,,,,100.0,,,,93.0,,90,,,,,,93.0,,,,,,90,,90,,,,,,,,,100,,,95,90,100,100,,,,90.0,,,,,,,,92.0,93,84,,90.0,,86.0,100,,,,85.0,,,,90.0,,90.0,,,,,,85,,90.0,,,80.0,,,,,90.0,,,,,,,,,,,,100.0,,,,,,,,80.0,,,,,,...,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayonetta-2,,,100.0,,,90.0,,,,,,90.0,,,,,86.0,,90.0,90,,,,,90.0,,,,,,,90.0,90.0,,,,,,,,,,,,,90,,,,,,,,,,,,90,90,100.0,,100,85,,90,,,,,,,,,90.0,90,92.0,92,90,,100.0,,85.0,100,,85.0,,,92,87.0,,,86,,,,,,,,,100.0,,,,80,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario-kart-8-deluxe,90.0,90.0,95.0,95.0,,95.0,90.0,,60.0,100,85.0,90.0,,80.0,90.0,,100.0,80.0,90.0,90,90.0,90.0,85,85.0,90.0,90.0,,100.0,90.0,,100,90.0,95.0,100.0,80,,100.0,,100,90,89.0,90,100,100.0,95.0,90,95,80.0,100,90.0,90.0,,100,93,,100.0,,100,95,90.0,95,90,100,93,100,90,,90.0,95,,90,90.0,88,90.0,95,90.0,90,93,95.0,96.0,,95.0,85,92.0,90.0,90,90.0,94,92.0,89.0,93.0,87,90.0,90.0,90.0,,70.0,,92,90,100.0,90.0,100,90.0,90,,90,90.0,,...,...,,...,,,,,,,90.0,,100.0,,,,85.0,,,,,,,,...,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unavowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,85.0,,,,,90.0,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inside,,,,,,85.0,,,,90,,,,,,,100.0,95.0,90.0,,,,,,,,,,,,,70.0,,,,,,,,,88.0,,,,90.0,90,,,,,,,,,,,,90,95,80.0,,,,100,,,,,,,,,,85.0,,,90,85,,100.0,,,95,,,,,,86.0,,,,,90.0,,,,,,,100.0,,,,80,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,90.0,,,,,,,,,,,,,,83.0,,90,,,90,,,,,,,,,,,,,,,,100,,,,,,,,,95.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,,,95.0,,90.0,95.0,,100.0,,90,,95.0,,,,100.0,92.0,,,,,,90,95.0,,90.0,,,,,,90.0,,100.0,90,,,,,,,,,,,90,93,,,,,,,,,90.0,100.0,90,90,90.0,90,90,95,,70,,,100.0,,,,,,90.0,93,,95,92,,100.0,96,,95,,,,,94,90.0,,,89,,90.0,,,,,92,,80.0,,80,,90,,,,,,...,,,,,,,92.0,,95.0,,100.0,,,,,,,,,,,,,,,100,,,,,,,,90.0,,,100,,,90,,,,,,,,,,,,,,,,,,,80,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic-mania-plus,,,,,,90.0,,,,100,,,,,,,,,,80,,,,,,,,,100.0,,,100.0,,,95,,,,80,,,,,,,,,,,,,,,,,,,90,,90.0,,90,,,,,,90.0,,,,,,,,,,,,,,,85,,,95,100.0,92,,,,,,,,,,,90,,,,,,,,,,,...,,,,,,,,,,90.0,,100.0,90.0,,,,,,,,,90.0,,,,,...,,,,,,,,,,,90,,,90,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamworld-heist-ultimate-edition,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,90,85,,,,,,,,,,,,,,,,,,,,,90.0,,,95,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shovel-knight-treasure-trove,,,,,,,90.0,,,100,,,,,,,,,90.0,,,100.0,,,,70.0,,,,,,90.0,90.0,,,,,,,,,,,,,90,90,,,,,,,,,,,90,,90.0,,,,90,,,,,,,,,,,,,91,,,,,,,,,,,90,,,,,,,,,,,,,90.0,,90,,,,...,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-crossing-new-horizons,95.0,,90.0,95.0,90.0,90.0,90.0,,,,80.0,90.0,90.0,90.0,90.0,95.0,90.0,,95.0,90,,,93,85.0,100.0,90.0,,80.0,90.0,,,100.0,92.0,100.0,90,,98.0,,100,95,92.0,80,100,,,93,90,90.0,90,90.0,95.0,,...,90,...,90.0,,100,85,90.0,90,90,100,90,90,,,90.0,85,90.0,80,93.0,94,90.0,94,82.0,88,95,,100.0,,92.0,85,,80.0,...,100.0,90,90.0,88.0,,80,,100.0,90.0,,,90,85,90,90.0,90.0,90,100.0,90,80.0,...,90.0,70.0,...,...,,...,...,...,...,,,,90.0,,100.0,90.0,80.0,,86.0,90.0,,81.0,,,90.0,80.0,,,,100,,,,,,90.0,,95.0,91.0,,100,,,91,,,,100,,,80.0,,,,,90,80,,,,,,90,100.0,,,,,85.0,100.0,,,100.0,,90.0,,,100,90.0,,,,,,,,90.0,90.0,90.0,80,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persona-4-golden,,,,,,,,,,80,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,...,,,90,,,,,100,,,,,,,,,,,,,,92,85,,80.0,93,,80,,,,95.0,90,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,90.0,100.0,,,,,,100.0,95,,90,,,80,,,100,,,,,,,,,,,,,,,,,,,95,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ori-and-the-blind-forest-definitive-edition,,,,,,100.0,,,,90,,,90.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,95,,,,,,,,,,,90,90,,,,90,,80,,,,,,,,,,,,92,,,,,90.0,90,,,,,90,,,,90,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,100,,,90,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bastion,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,90.0,,,,,,,,,,,,,,,,,,,,90.0,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollow-knight,,,,,,100.0,,,,100,,,,,,90.0,,85.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,90,,,,,,,,93,,,,90,90,90.0,95,90,85,94,80,,,,,90.0,,,,,,,95,90,,90.0,,,100,,,,,90,,,,,,,,,,80,85,,80.0,,,,,,,,,,...,,...,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chained-echoes,,,,,,,,,,,,,,,,,90.0,,,,,,,,,100.0,,,,,,,,,,,,,,,92.0,,,,,,,,,,55.0,,,88,,,,90,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,87,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicory-a-colorful-tale,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,90.0,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayonetta-+-bayonetta-2,,,,85.0,,,,,,100,,,80.0,,,,,,,,,,90,85.0,,90.0,100.0,80.0,,,,,,,90,,,,90,,80.0,,,,,,85,,,,,,,,,,,,,,85,,,,,95,,,,,,90.0,100,,,,,,,,,,,,,90,90.0,,,,,,,100.0,80.0,,,,83,,,,...,90.0,,,,,90.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,90,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xenoblade-chronicles-definitive-edition,95.0,,95.0,,,100.0,95.0,,,90,,80.0,80.0,80.0,90.0,100.0,90.0,,90.0,70,,95.0,90,95.0,,90.0,,80.0,,,,90.0,93.0,,90,,,,90,,90.0,80,,,,92,87,,80,,100.0,,,,,,90.0,90,90,,95,90,90,80,90,85,,90.0,95,,90,87.0,90,85.0,92,88.0,92,96,,80.0,93,90.0,95,,,,90.0,90,,80.0,,90,,100.0,100.0,,,,95,,90.0,90.0,90,80.0,90,,,70.0,80.0,,...,,...,,,,,,,,,,,90.0,,,,,96.0,,,95.0,,,,,100,,,,,,100.0,,95.0,,,90,,,95,90.0,,,100,60,,70.0,,,,,90,90,,,80,,,90,90.0,,,,,90.0,90.0,,,100.0,90,,,90.0,80,,,,90.0,,,,,,,90.0,90,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dead-cells,,,,90.0,,,,,,90,,,,,,,90.0,,,,95.0,,90,90.0,90.0,,,90.0,90.0,,,,,,95,,,,,,91.0,,,,,,,,,,,,80,,...,,,90,,80.0,,90,95,95,,,,90.0,,80.0,85,,,,,,93,,,90.0,,,95,,,,,92,,,,,80.0,,,,,,,,80.0,,100,,,,,,90.0,,...,,...,,...,,,,,,,91.0,100.0,,,,93.0,,,,,,,,,,,,,,,,,,,83.0,,100,,,95,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
into-the-breach,,,95.0,,,90.0,,,,,,,,,,,,90.0,,,,,,,90.0,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,90,,70.0,,90,,,90,,,,,,,,,,,,,,,80.0,,,90,,,,,,,,,,,,,,,,92,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
