Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
the-stanley-parable-ultra-deluxe,https://www.metacritic.com/game/playstation-5/the-stanley-parable-ultra-deluxe,"Galactic Cafe , Crows Crows Crows",Crows Crows Crows,"Apr 27, 2022","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you.",89,generally favorable reviews,8,8,0,0,8.1,generally favorable reviews,48.0,13.0,1.0,4.0,"Adventure, 3D, First-Person",No Online Multiplayer,E10+,"#5 Best PlayStation 5 Game of 2022
#66 Most Discussed PlayStation 5 Game of 2022"
disco-elysium-the-final-cut,https://www.metacritic.com/game/playstation-5/disco-elysium-the-final-cut,ZA/UM,ZA/UM,"Mar 30, 2021","iPhone/iPad, PC, PlayStation 4, Stadia, Switch, Xbox One, Xbox Series X","Disco Elysium is about a detective who wakes up in a rundown coastal district with a banging headache and only a few dregs of memory left. You set out to discover what happened to him inside the unique world we have created. We’ve thrown together disco music, early motor carriages, and post-revolutionary angst for our setting, and brought it all to life with actual oil paintings. Collapse",89,generally favorable reviews,30,29,1,0,7.9,generally favorable reviews,166.0,35.0,4.0,11.0,"Role-Playing, General, Western-Style",No Online Multiplayer,M,"#5 Best PlayStation 5 Game of 2021
#39 Most Discussed PlayStation 5 Game of 2021"
devil-may-cry-5-special-edition,https://www.metacritic.com/game/playstation-5/devil-may-cry-5-special-edition,Capcom,Capcom,"Nov 12, 2020",Xbox Series X,"
Devil May Cry is back. The legendary stylish action game is better than ever in the ultimate version of this multi-award winning hit.

New features:

- New playable character - Dante's brother and arch-rival, Vergil
- Legendary Dark Knight mode - an extremely challenging horde mode featuring huge numbers of enemies
- Turbo mode - make the game even more intense by playing at 1.2x speed
- Ray-tracing support - this next-generation graphics technology brings the already near-photorealistic world of DMC5 to a new level of unparalleled visual splendour
- High Frame-Rate mode - experience super-smooth action

These new features and modes utilise the power of PlayStation®5 to bring you the craziest, sexiest, most stylish Devil May Cry experience ever. Collapse",89,generally favorable reviews,34,34,0,0,8.4,generally favorable reviews,346.0,68.0,9.0,10.0,"Action Adventure, General",3,M,"#2 Best PlayStation 5 Game of 2020
#11 Most Discussed PlayStation 5 Game of 2020"
the-last-of-us-part-i,https://www.metacritic.com/game/playstation-5/the-last-of-us-part-i,Sony Interactive Entertainment,Naughty Dog,"Sep 2, 2022",PC,"In a ravaged civilization, where infected and hardened survivors run rampant, Joel, a weary protagonist, is hired to smuggle 14-year-old Ellie out of a military quarantine zone. However, what starts as a small job soon transforms into a brutal cross-country journey. Includes the complete The Last of Us single-player story and celebrated prequel chapter, Left Behind, which explores the events that changed the lives of Ellie and her best friend Riley forever. Collapse",88,generally favorable reviews,114,107,7,0,6.5,mixed or average reviews,1827.0,466.0,59.0,329.0,"Action Adventure, General",No Online Multiplayer,M,"#6 Best PlayStation 5 Game of 2022
#7 Most Discussed PlayStation 5 Game of 2022"
ratchet-clank-rift-apart,https://www.metacritic.com/game/playstation-5/ratchet-clank-rift-apart,PlayStation Studios,Insomniac Games,"Jun 11, 2021",,"Ratchet & Clank: Rift Apart is an intergalactic adventure from Insomniac Games that showcases what’s possible for games designed around PS5’s SSD and DualSense wireless controller. Players seamlessly travel through different dimensions in mid-gameplay. The DualSense wireless controller brings combat to life, with haptic feedback and the adaptive triggers adding powerful sensations that increase immersion in combat. Collapse",88,generally favorable reviews,127,120,6,1,8.5,generally favorable reviews,2351.0,793.0,61.0,88.0,"Action, Platformer, 3D",No Online Multiplayer,E10+,"#6 Best PlayStation 5 Game of 2021
#3 Most Discussed PlayStation 5 Game of 2021"
it-takes-two,https://www.metacritic.com/game/playstation-5/it-takes-two,Electronic Arts,Hazelight,"Mar 26, 2021","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically acclaimed A Way Out and Brothers: A Tale of Two Sons.

Something out of the ordinary
Bring your favorite co-op partner and together step into the shoes of May and Cody. As the couple is going through a divorce, through unknown means their minds are transported into two dolls which their daughter, Rose, made to represent them. Now they must reluctantly find a way to get back into their bodies, a quest which takes them through the most wild, unexpected and fantastical journey imaginable. Collapse",88,generally favorable reviews,49,48,1,0,9.1,universal acclaim,859.0,255.0,12.0,14.0,"Action Adventure, Linear",2,T,"#7 Best PlayStation 5 Game of 2021
#14 Most Discussed PlayStation 5 Game of 2021"
deathloop,https://www.metacritic.com/game/playstation-5/deathloop,Bethesda Softworks,Arkane Studios,"Sep 14, 2021","PC, Xbox Series X","If at first you don't succeed Die, Die Again. From the team at Arkane Lyon comes an innovative take on first-person action. ""DEATHLOOP"" transports players to the lawless island of Blackreef in an eternal struggle between two extraordinary assassins. Explore stunning environments and meticulously designed levels in an immersive gameplay experience that lets you approach every situation any way you like. Hunt down targets all over the island in an effort to put an end to the cycle once and for all, and remember, if at first you don't succeed die, die again. Collapse",88,generally favorable reviews,109,100,9,0,6.5,mixed or average reviews,1435.0,310.0,114.0,137.0,"Action, Shooter, First-Person, Arcade",2,M,"#8 Best PlayStation 5 Game of 2021
#9 Most Discussed PlayStation 5 Game of 2021"
horizon-forbidden-west,https://www.metacritic.com/game/playstation-5/horizon-forbidden-west,PlayStation Studios,Guerrilla,"Feb 18, 2022",PlayStation 4,"Join Aloy as she braves the Forbidden West – a majestic but dangerous frontier that conceals mysterious new threats. Explore distant lands, fight bigger and more awe-inspiring machines, and encounter astonishing new tribes as you return to the far-future, post-apocalyptic world of Horizon. The land is dying. Vicious storms and an unstoppable blight ravage the scattered remnants of humanity, while fearsome new machines prowl their borders. Life on Earth is hurtling towards another extinction, and no one knows why. It's up to Aloy to uncover the secrets behind these threats and restore order and balance to the world. Along the way, she must reunite with old friends, forge alliances with warring new factions and unravel the legacy of the ancient past – all the while trying to stay one step ahead of a seemingly undefeatable new enemy. Collapse",88,generally favorable reviews,126,118,8,0,8.0,generally favorable reviews,9568.0,3904.0,358.0,691.0,"Role-Playing, Action RPG, Action Adventure, Open-World",No Online Multiplayer,T,"#7 Best PlayStation 5 Game of 2022
#2 Most Discussed PlayStation 5 Game of 2022"
mortal-kombat-11-ultimate,https://www.metacritic.com/game/playstation-5/mortal-kombat-11-ultimate,"Warner Bros. Interactive Entertainment , Warner Bros. Games",NetherRealm Studios,"Nov 17, 2020","PC, PlayStation 4, Stadia, Switch, Xbox One, Xbox Series X","Experience 2 robust and critically acclaimed story campaigns from Mk11 & Mk11: aftermath. Play as the complete 37-character roster including newly added fighters mileena, RaiN & rambo. Thousands of Skins & weapons & Gear for an unprecedented level of Fighter customization. Includes all previous guest fighters such as Terminator Joker spawn & robocop. Every mode included. Collapse",88,generally favorable reviews,17,16,1,0,7.3,mixed or average reviews,266.0,42.0,7.0,19.0,"Action, Fighting, 2D",8,M,"#3 Best PlayStation 5 Game of 2020
#13 Most Discussed PlayStation 5 Game of 2020"
ghost-of-tsushima-directors-cut,https://www.metacritic.com/game/playstation-5/ghost-of-tsushima-directors-cut,"SCEE , Sony Interactive Entertainment , PlayStation Studios",Sucker Punch,"Aug 20, 2021",PlayStation 4,"Ghost of Tsushima Director's Cut includes: Ghost of Tsushima full game; Iki Island expansion: New story, mini-games, enemy types and more*; Legends online co-op mode; Downloadable content: Digital mini art book, Director's commentary, One Technique Point, Charm of Hachiman's Favor, Hero of Tsushima Skin Set. PS5 Features: Dynamic 4K resolution targeting 60fps (requires compatible 4K TV or display). DualSense™ wireless controller haptic feedback and adaptive trigger resistance. 3D Audio (with analog or USB stereo headphones). Lip sync for Japanese voiceover. Ability to transfer PS4 saved progress to PS5 game.
Collapse",87,generally favorable reviews,73,71,2,0,7.4,mixed or average reviews,1745.0,564.0,27.0,179.0,"Action Adventure, Open-World",4,M,"#9 Best PlayStation 5 Game of 2021
#5 Most Discussed PlayStation 5 Game of 2021"
the-nioh-collection,https://www.metacritic.com/game/playstation-5/the-nioh-collection,"SCEE , Sony Interactive Entertainment",Team Ninja,"Feb 5, 2021",PlayStation 4,"Celebrate the franchise's 4-year anniversary with remastered editions of both games featuring 4K and up to 120FPS support.
For everyone that recently purchased the PlayStation 5 console, you will be able to experience the complete Nioh 2 adventure in Nioh 2 Remastered The Complete Edition, along with a remastered version of the first entry in the series: Nioh Remastered The Complete Edition. If you would like all of this content in one convenient place, we have the perfect title for all of your Nioh needs. Get ready to relive the entire series with all DLC included for both titles in The Nioh Collection for PlayStation 5.
All of the titles available on PlayStation 5 will support 4K resolution for crystal clear visuals, up to 120 FPS gameplay for silky smooth combat, ultra-fast load times and the ability to transfer your data from the PS4 versions to pick up your journey right where you left off. Collapse",87,generally favorable reviews,36,35,1,0,8.0,generally favorable reviews,103.0,9.0,2.0,2.0,"Miscellaneous, Compilation",4,M,"#10 Best PlayStation 5 Game of 2021
#82 Most Discussed PlayStation 5 Game of 2021"
gran-turismo-7,https://www.metacritic.com/game/playstation-5/gran-turismo-7,PlayStation Studios,Polyphony Digital,"Mar 4, 2022",PlayStation 4,"From classic vehicles and tracks to the reintroduction of the legendary GT Simulation Mode – GT 7 brings together the best features from past installments of the series alongside the future. An even more realistic driving experience awaits thanks to haptic feedback, which brings to life what it’s like when the tires hit the road. PS5’s immersive 3D audio allows players to sense the position of other cars and drivers around them. Collapse",87,generally favorable reviews,119,115,4,0,2.1,generally unfavorable reviews,10937.0,1009.0,270.0,5988.0,"Racing, Simulation, Automobile",20,E,"#8 Best PlayStation 5 Game of 2022
#1 Most Discussed PlayStation 5 Game of 2022"
guilty-gear--strive-,https://www.metacritic.com/game/playstation-5/guilty-gear--strive-,Arc System Works,Arc System Works,"Jun 8, 2021","PC, PlayStation 4","“Guilty Gear -Strive-“ is the latest entry in the Guilty Gear fighting game franchise. Created by Daisuke Ishiwatari and developed by Arc System Works, “Guilty Gear -Strive-“ upholds the series’ reputation for groundbreaking hybrid 2D/3D cell-shaded graphics and intense, rewarding gameplay. There is a fully voiced story mode diving deep into the Guilty Gear universe, new characters joining fan favorites, and robust rollback net code. The cutting-edge 2D/3D hybrid graphics pioneered in the Guilty Gear series have been raised to the next level in “Guilty Gear -Strive-“. The new artistic direction and improve character animations will go beyond anything you’ve seen before in a fighting game! Collapse",87,generally favorable reviews,53,53,0,0,7.7,generally favorable reviews,99.0,15.0,1.0,10.0,"Action, Fighting, 2D",32,T,"#11 Best PlayStation 5 Game of 2021
#58 Most Discussed PlayStation 5 Game of 2021"
uncharted-legacy-of-thieves-collection,https://www.metacritic.com/game/playstation-5/uncharted-legacy-of-thieves-collection,"SCEE , Sony Interactive Entertainment , PlayStation Studios","Naughty Dog, Iron Galaxy Studios","Jan 28, 2022",PC,UNCHARTED: Legacy of Thieves Collection includes UNCHARTED 4: A Thief’s End and UNCHARTED: The Lost Legacy remastered for PS5™. Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they are forced to confront their pasts and forge their own legacies.,87,generally favorable reviews,79,77,2,0,8.7,generally favorable reviews,871.0,108.0,6.0,30.0,"Miscellaneous, Compilation",,T,"#9 Best PlayStation 5 Game of 2022
#22 Most Discussed PlayStation 5 Game of 2022"
monster-hunter-rise,https://www.metacritic.com/game/playstation-5/monster-hunter-rise,Capcom,Capcom,"Jan 20, 2023","PC, PlayStation 4, Switch, Xbox One, Xbox Series X","Rise to the challenge and join the hunt! Set in the ninja-inspired land of Kamura Village, explore lush ecosystems and battle fearsome monsters to become the ultimate hunter. It's been half a century since the last calamity struck, but a terrifying new monster has reared its head and threatens to plunge the land into chaos once again.

Hunt solo or in a party with friends to earn rewards that you can use to craft a huge variety of weapons and armor. Brand new gameplay systems such as the high-flying 'Wire Action' and your canine companion 'Palamute' will add exciting new layers to the already robust combat that Monster Hunter is known for. Collapse",87,generally favorable reviews,32,32,0,0,2.6,generally unfavorable reviews,184.0,16.0,4.0,6.0,"Role-Playing, Action RPG",4,T,"#2 Best PlayStation 5 Game of 2023
#7 Most Discussed PlayStation 5 Game of 2023"
destiny-2-the-witch-queen,https://www.metacritic.com/game/playstation-5/destiny-2-the-witch-queen,Bungie,Bungie,"Feb 22, 2022","PC, PlayStation 4, Stadia, Xbox One, Xbox Series X","The Definitive Destiny Campaign. Delve into Savathûn’s Throne World to uncover the mystery of how she and her Lucent Hive stole the Light. Learn the secrets to crafting new weapons, the new Glaive, and survive the truth within her web of lies. New Destination. A twisted wonderland of corruption and splendor, Savathûn’s Throne World plays host to a fragile balance of power. From her palace to the swamp, all that she hides can be found here. Weapon Crafting. Create custom weaponry with unique mod, shader, and stat combinations. Master the new Glaive weapon type and unleash powerful melee combos, projectile attacks, and a deployable energy shield. Collapse",87,generally favorable reviews,17,17,0,0,8.0,generally favorable reviews,148.0,35.0,5.0,8.0,"Action, Shooter, First-Person, Arcade",,T,"#10 Best PlayStation 5 Game of 2022
#39 Most Discussed PlayStation 5 Game of 2022"
