Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
bloodborne,https://www.metacritic.com/game/playstation-4/bloodborne,SCEA,From Software,"Mar 24, 2015",,"Bloodborne is an action RPG in which you hunt for answers in the ancient city of Yharnam, now cursed with a strange endemic illness spreading through the streets like a disease. Peril, death and madness infest this dark world, and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry, including guns and saw cleavers, you'll require wits, strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins, chock full of traps, beasts, and rewards, to explore and conquer on your own or with other people. Collapse",92,universal acclaim,100,99,1,0,8.9,generally favorable reviews,12708.0,2206.0,153.0,176.0,"Fantasy, Role-Playing, Action Adventure, General, Action RPG",5,M,"#3 Best PS4 Game of 2015
#1 Most Discussed PS4 Game of 2015
#9 Most Shared PS4 Game of 2015"
undertale,https://www.metacritic.com/game/playstation-4/undertale,"tobyfox , Sony Interactive Entertainment , Fangamer , 8-4","tobyfox, 8-4","Aug 15, 2017","PC, PlayStation Vita, Switch, Xbox One, Xbox Series X","
Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.

((Healthy Dog's Warning: Game contains imagery that may be harmful to players with photosensitive epilepsy or similar condition.))

features:

* Killing is unnecessary: negotiate out of danger using the unique battle system.
* Time your attacks for extra damage, then dodge enemy attacks in a style reminiscent of top-down shooters.
* Original art and soundtrack brimming with personality.
* Soulful, character-rich story with an emphasis on humor.
* Created mostly by one person.
* Become friends with all of the bosses!
* At least 5 dogs.
* You can date a skeleton.
* Hmmm... now there are 6 dogs...?
* Maybe you won't want to date the skeleton.
* I thought I found a 7th dog, but it was actually just the 3rd dog.
* If you play this game, can you count the dogs for me...? I'm not good at it. Collapse",92,universal acclaim,18,17,1,0,7.3,mixed or average reviews,947.0,113.0,22.0,23.0,"Role-Playing, Japanese-Style",No Online Multiplayer,E10+,"#2 Best PS4 Game of 2017
#33 Most Discussed PS4 Game of 2017
#28 Most Shared PS4 Game of 2017"
the-witcher-3-wild-hunt,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,"May 19, 2015","PC, Switch, Xbox One","With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders, breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Also known as ""The Witcher III: Wild Hunt"" Collapse",92,universal acclaim,79,78,1,0,9.2,universal acclaim,18353.0,1989.0,162.0,181.0,"Action RPG, Role-Playing, Action RPG",No Online Multiplayer,M,"#4 Best PS4 Game of 2015
#2 Most Discussed PS4 Game of 2015
#8 Most Shared PS4 Game of 2015"
divinity-original-sin-ii---definitive-edition,https://www.metacritic.com/game/playstation-4/divinity-original-sin-ii---definitive-edition,Larian Studios Games,Larian Studios Games,"Aug 31, 2018","iPhone/iPad, PC, Switch, Xbox One","Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void. Collapse",92,universal acclaim,46,46,0,0,8.0,generally favorable reviews,494.0,82.0,12.0,13.0,"Role-Playing, Western-Style",4,M,"#3 Best PS4 Game of 2018
#33 Most Discussed PS4 Game of 2018
#33 Most Shared PS4 Game of 2018"
final-fantasy-xiv-shadowbringers,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-shadowbringers,Square Enix,Square Enix,"Jul 2, 2019",PC,"
Take part in the next saga of FINAL FANTASY® XIV Online with the next legendary expansion pack—SHADOWBRINGERS.

New jobs: Gunbreaker and Dancer
New races: Viera and Hrothgar
Level cap increased: 70 to 80
New cities: The Crystarium and Eulmore
Journey through expansive new areas, such as the Rak’tika Greatwood, Amh Araeng, Il Mheg and Lakeland.
New trails, including harrowing encounters with Titania and Innocence.
New beast tribes: pixies, Nu Mou, and dwarves
New 8-player raid: Eden
An exciting new series of alliance raids YoRHa:Dark Apocalypse
The Restoration of the Holy See of Ishgard - In the aftermath of the Dragonsong War, Disciples of the Hand and Land work together to rebuild Ishgard Collapse",91,universal acclaim,18,17,1,0,8.7,generally favorable reviews,441.0,47.0,6.0,4.0,"Role-Playing, Massively Multiplayer",,T,"#1 Best PS4 Game of 2019
#56 Most Discussed PS4 Game of 2019"
shadow-of-the-colossus,https://www.metacritic.com/game/playstation-4/shadow-of-the-colossus,Sony Interactive Entertainment,"Bluepoint Games, SCE Japan Studio","Feb 6, 2018",PlayStation 2,"Tales speak of an ancient realm where Colossi roam the majestic landscape. Bound to the land, these creatures hold a key to a mystical power of revival – a power you must obtain to bring a loved one back to life.",91,universal acclaim,100,97,3,0,7.8,generally favorable reviews,2662.0,320.0,133.0,113.0,"Action Adventure, General",No Online Multiplayer,T,"#4 Best PS4 Game of 2018
#8 Most Discussed PS4 Game of 2018
#16 Most Shared PS4 Game of 2018"
the-witcher-3-wild-hunt---blood-and-wine,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---blood-and-wine,"Warner Bros. Interactive Entertainment , CD Projekt",CD Projekt Red Studio,"May 30, 2016","PC, Xbox One","This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.",91,universal acclaim,27,26,1,0,9.2,universal acclaim,2020.0,144.0,4.0,7.0,"Role-Playing, Action RPG",No Online Multiplayer,M,"#2 Best PS4 Game of 2016
#25 Most Discussed PS4 Game of 2016
#60 Most Shared PS4 Game of 2016"
celeste,https://www.metacritic.com/game/playstation-4/celeste,Matt Makes Games Inc.,Matt Makes Games Inc.,"Jan 25, 2018","iPhone/iPad, PC, Stadia, Switch, Xbox One","Help Madeline survive her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer from the creators of TowerFall.",91,universal acclaim,7,7,0,0,7.7,generally favorable reviews,460.0,71.0,9.0,10.0,"Action, Platformer, 2D",No Online Multiplayer,E10+,"#5 Best PS4 Game of 2018
#38 Most Discussed PS4 Game of 2018"
inside,https://www.metacritic.com/game/playstation-4/inside,PLAYDEAD,PLAYDEAD,"Aug 23, 2016","iPhone/iPad, PC, Switch, Xbox One","Hunted and alone, a boy finds himself drawn into the center of a dark project. The second game from Limbo developer Playdead.",91,universal acclaim,18,17,1,0,8.5,generally favorable reviews,1005.0,145.0,22.0,4.0,"Action, Platformer, 2D",,M,"#3 Best PS4 Game of 2016
#23 Most Discussed PS4 Game of 2016
#39 Most Shared PS4 Game of 2016"
nier-automata---game-of-the-yorha-edition,https://www.metacritic.com/game/playstation-4/nier-automata---game-of-the-yorha-edition,Square Enix,PlatinumGames,"Feb 26, 2019",PC,"Humanity has been driven from the Earth by mechanical beings from another world. In a final effort to take back the planet, the human resistance sends a force of android soldiers to destroy the invaders. Now, a war between machines and androids rages on... A war that could soon unveil a long-forgotten truth of the world. Collapse",91,universal acclaim,10,10,0,0,8.9,generally favorable reviews,770.0,71.0,11.0,12.0,"Role-Playing, Action RPG",No Online Multiplayer,M,"#2 Best PS4 Game of 2019
#44 Most Discussed PS4 Game of 2019"
resident-evil-2,https://www.metacritic.com/game/playstation-4/resident-evil-2,Capcom,Capcom R&D Division 1,"Jan 25, 2019","PC, PlayStation 5, Switch, Xbox One, Xbox Series X","In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that transformed its population into deadly zombies. Both Leon and Claire have their own separate playable campaigns, allowing players to see the story from both characters’ perspectives. The fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city. Will they make it out alive? Collapse",91,universal acclaim,85,84,1,0,9.0,universal acclaim,4618.0,817.0,50.0,38.0,"Action Adventure, Survival",No Online Multiplayer,M,"#3 Best PS4 Game of 2019
#7 Most Discussed PS4 Game of 2019
#63 Most Shared PS4 Game of 2019"
dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,https://www.metacritic.com/game/playstation-4/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,Square Enix,Square Enix,"Dec 4, 2020","PC, Stadia, Switch, Xbox One","The Definitive Edition includes all the content from the original release of the acclaimed DRAGON QUEST XI, and adds extra character-specific scenarios, the choice of playing with the original soundtrack or a grand orchestral version of the music, the ability to switch between 2D and 3D graphic modes, a Japanese voice-acting option, and much more. Collapse",91,universal acclaim,25,25,0,0,8.0,generally favorable reviews,158.0,19.0,8.0,6.0,"Role-Playing, Japanese-Style",No Online Multiplayer,T,"#3 Best PS4 Game of 2020
#79 Most Discussed PS4 Game of 2020"
flower,https://www.metacritic.com/game/playstation-4/flower,SCEA,Bluepoint Games,"Nov 15, 2013","iPhone/iPad, PC, PlayStation 3, PlayStation Vita","The pioneers that brought you the PLAYSTATION Network title flOw are back with another concept that challenges traditional gaming conventions. Flower expands the team's tradition of delivering simple gameplay, accessible controls and a medium to explore emotional chords uncommon in video games. In Flower, the surrounding environment, most often pushed to the background in games, is pulled to the forefront and becomes the primary ""character."" The player fades from an external and stressful world in the opening of this fresh and genuine game only for PS3, and journeys through beautifully vivid landscapes, changing the his surroundings and exploring nature along the way. Collapse",91,universal acclaim,11,11,0,0,7.3,mixed or average reviews,759.0,56.0,20.0,28.0,"General, Miscellaneous, General",1,E,"#1 Best PS4 Game of 2013
#10 Most Discussed PS4 Game of 2013
#8 Most Shared PS4 Game of 2013"
diablo-iii-ultimate-evil-edition,https://www.metacritic.com/game/playstation-4/diablo-iii-ultimate-evil-edition,Blizzard Entertainment,Blizzard Entertainment,"Aug 19, 2014","PC, PlayStation 3, Xbox 360, Xbox One","PlayStation 4 players can now experience the full adventure of Blizzard’s epic action RPG, Diablo III, and the upcoming expansion, Reaper of Souls all from the comfort of their couch in Diablo III: Ultimate Evil Edition! Take on the role of one of six powerful character class Barbarian, Demon Hunter, Monk, Witch Doctor, Wizard, or the all-new Crusader and embark on a dark journey through Acts I-V to save the world of Sanctuary from ancient and sinister forces. With the new DUALSHOCK 4 wireless controller and a custom-designed console interface, players will be outfitted with touch pad functionality and new social features as they engage in pulse-pounding combat with hordes of monsters and acquire items of incredible power. Collapse",90,universal acclaim,63,63,0,0,7.8,generally favorable reviews,1542.0,160.0,30.0,27.0,"Action RPG, Role-Playing, Action RPG",4,M,"#3 Best PS4 Game of 2014
#18 Most Discussed PS4 Game of 2014
#8 Most Shared PS4 Game of 2014"
overwatch,https://www.metacritic.com/game/playstation-4/overwatch,Blizzard Entertainment,Blizzard Entertainment,"May 23, 2016","PC, Switch, Xbox One","Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers, mercenaries, scientists, adventurers, and oddities against each other in an epic, globe-spanning conflict.",90,universal acclaim,31,31,0,0,6.4,mixed or average reviews,2320.0,234.0,99.0,119.0,"Action, Shooter, First-Person, Tactical",12,T,"#4 Best PS4 Game of 2016
#11 Most Discussed PS4 Game of 2016
#17 Most Shared PS4 Game of 2016"
shovel-knight,https://www.metacritic.com/game/playstation-4/shovel-knight,Yacht Club Games,Yacht Club Games,"Apr 21, 2015","3DS, PC, PlayStation 3, PlayStation Vita, Wii U, Xbox One","Shovel Knight is a sweeping classic action adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. It's a hot mashup of new and old! You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this land with two goals: to defeat the evil Enchantress and quest for his lost beloved. He wields a Shovel Blade: a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a shining example of the code of Shovelry: Slash Mercilessly and Dig Tirelessly!

But, between Shovel Knight and his beloved stands a cadre of villainous knights. These terrible foes, known as The Order of No Quarter, have been dispatched to prevent Shovel Knight from reaching the Enchantress, and will pursue their mission at any cost. If you love games with perfect platforming, beautiful art, infectious music, crazy bosses, humor and levity, and real heart... Shovel Knight is for you! Collapse",90,universal acclaim,18,18,0,0,7.7,generally favorable reviews,448.0,50.0,6.0,8.0,"Action, Platformer, 2D",,E,"#5 Best PS4 Game of 2015
#53 Most Discussed PS4 Game of 2015
#60 Most Shared PS4 Game of 2015"
rayman-legends,https://www.metacritic.com/game/playstation-4/rayman-legends,Ubisoft,Ubisoft Montpellier,"Feb 18, 2014","PC, PlayStation 3, PlayStation Vita, Stadia, Wii U, Xbox 360, Xbox One","There are several differences and new features in this PS4 version. In this version the textures of the game are more compressed, so you can see that the game’s graphics are clearer and more detailed than before. You will also see that there is no loading time when you enter or exit a level, which makes the navigation even faster and more enjoyable. Ubisoft has also integrated a new Camera Mode on PS4. By pressing the touchpad of the PS4 joystick, you pause the game and enter this mode, and by moving your fingers on the touchpad, you zoom in and out on the image and drag the image frame; and finally, by pressing the Share button, you can take a photo and share it with everyone. This Camera Mode is a great way to observe in detail all the characters and settings of the game, and a great way of expression to create wacky images with the elements found in the game. On PS4, you can also use the touchpad to scrape the famous Lucky Tickets, then you will really feel like you’re scraping lottery tickets (with the sound of scraping straight from the PS4 joystick). Finally, in this PS4 version, you’ll also find new playable heroes: Assassin Ray (a character inspired by Edward Kenway, the hero of Assassin’s Creed IV: Black Flag), Funky Ray (a delusional character that you can unlock by using Uplay points), and Champion Ray (a character who will be offered to the best players of the community and those who live in this community; this character correspond to the new VIP status, visible in the rankings of online challenges). [Playstation Blog] Collapse",90,universal acclaim,16,16,0,0,8.3,generally favorable reviews,1062.0,139.0,9.0,8.0,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,E10+,"#4 Best PS4 Game of 2014
#23 Most Discussed PS4 Game of 2014
#21 Most Shared PS4 Game of 2014"
fez,https://www.metacritic.com/game/playstation-4/fez,Polytron Corp.,"Polytron Corp., BlitWorks","Mar 25, 2014","iPhone/iPad, PC, PlayStation 3, PlayStation Vita, Switch, Xbox 360",Gomez is a 2D man on a voyage of discovery into the mysterious 3rd dimension. Change your perspective and look at the world in a different way.,90,universal acclaim,17,17,0,0,6.4,mixed or average reviews,581.0,29.0,21.0,10.0,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,E,"#5 Best PS4 Game of 2014
#47 Most Discussed PS4 Game of 2014
#67 Most Shared PS4 Game of 2014"
monster-hunter-world,https://www.metacritic.com/game/playstation-4/monster-hunter-world,Capcom,Capcom,"Jan 26, 2018","PC, Xbox One","In Monster Hunter: World you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles. This new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain, vegetation and wildlife to your advantage in battle or become hindered by the hazards they present. As a hunter, you must use your cunning and expertise to track and maneuver your targets throughout the intense, evolving battles. [Capcom] Collapse",90,universal acclaim,93,89,4,0,7.7,generally favorable reviews,1954.0,326.0,74.0,86.0,"Role-Playing, Action RPG",4,T,"#6 Best PS4 Game of 2018
#11 Most Discussed PS4 Game of 2018
#5 Most Shared PS4 Game of 2018"
tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,Telltale Games,Telltale Games,"Oct 20, 2015","iPhone/iPad, PC, PlayStation 3, Xbox 360, Xbox One","In the final episode of the season, all hell is breaking loose. Jack is now in control of Helios' systems, and he is ready to reclaim his rightful place as king of Hyperion - with or without you. It's a mad dash to get out of the chaotic space station alive, as everyone scrambles to grab the final Gortys piece and high tail it back to Pandora. Can you guide our motley crew through perilous corporate dangers in hopes of getting some copious alien riches? Loyalties will be tested, secrets will be revealed, and explosions will be in large supply in this final chapter of Tales From The Borderlands. Collapse",90,universal acclaim,7,7,0,0,7.9,generally favorable reviews,195.0,12.0,1.0,0.0,"Adventure, General",,M,"#6 Best PS4 Game of 2015
#50 Most Shared PS4 Game of 2015"
the-witcher-3-wild-hunt---hearts-of-stone,https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone,"Warner Bros. Interactive Entertainment , CD Projekt",CD Projekt Red Studio,"Oct 12, 2015","PC, Xbox One","Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics. [CD Projekt] Collapse",90,universal acclaim,25,25,0,0,9.0,universal acclaim,2023.0,122.0,7.0,5.0,"Role-Playing, Action RPG",No Online Multiplayer,M,"#7 Best PS4 Game of 2015
#34 Most Discussed PS4 Game of 2015
#53 Most Shared PS4 Game of 2015"
