Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
dead-space,https://www.metacritic.com/game/xbox-series-x/dead-space,Electronic Arts,"Electronic Arts, Motive Studios","Jan 27, 2023","PC, PlayStation 5","Developed exclusively for next generation consoles and PC, raising the level of horror and immersion to unprecedented heights for the franchise through stunning visuals, audio and controls powered by the Frostbite game engine. Fans will experience an improved story, characters, gameplay mechanics and more as they fight to survive a living nightmare aboard the desolate mining starship, the USG Ishimura, all while uncovering the dreadful mystery of what happened to the slaughtered crew and ship.
In Dead Space, Isaac Clarke is an everyman engineer on a mission to repair a vast, sprawling starship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and infected by some alien scourge...and Isaac's beloved partner, Nicole, is lost somewhere on board. Now Isaac is alone with only his tools and engineering skills as he attempts to uncover the nightmarish mystery of what happened aboard the Ishimura. Trapped with hostile creatures called ""necromorphs"", Isaac faces a battle for survival, not only against the escalating terrors of the ship, but his own crumbling sanity. Collapse",89,generally favorable reviews,25,25,0,0,8.6,generally favorable reviews,234.0,42.0,4.0,5.0,"Action Adventure, Survival",No Online Multiplayer,M,"#4 Best Xbox Series X Game of 2023
#3 Most Discussed Xbox Series X Game of 2023"
deathloop,https://www.metacritic.com/game/xbox-series-x/deathloop,Bethesda Softworks,Arkane Studios,"Sep 20, 2022","PC, PlayStation 5","
If at first you don't succeed Die, Die Again

From the team at Arkane Lyon comes an innovative take on first-person action. ""DEATHLOOP"" transports players to the lawless island of Blackreef in an eternal struggle between two extraordinary assassins. Explore stunning environments and meticulously designed levels in an immersive gameplay experience that lets you approach every situation any way you like. Hunt down targets all over the island in an effort to put an end to the cycle once and for all, and remember, if at first you don't succeed die, die again. Collapse",89,generally favorable reviews,13,12,1,0,7.4,mixed or average reviews,254.0,52.0,12.0,23.0,"Action, Shooter, First-Person, Arcade",2,M,"#5 Best Xbox Series X Game of 2022
#13 Most Discussed Xbox Series X Game of 2022"
it-takes-two,https://www.metacritic.com/game/xbox-series-x/it-takes-two,Electronic Arts,Hazelight,"Mar 26, 2021","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically acclaimed A Way Out and Brothers: A Tale of Two Sons.

Something out of the ordinary
Bring your favorite co-op partner and together step into the shoes of May and Cody. As the couple is going through a divorce, through unknown means their minds are transported into two dolls which their daughter, Rose, made to represent them. Now they must reluctantly find a way to get back into their bodies, a quest which takes them through the most wild, unexpected and fantastical journey imaginable. Collapse",89,generally favorable reviews,32,31,1,0,8.7,generally favorable reviews,393.0,109.0,3.0,12.0,"Action Adventure, Linear",2,T,"#4 Best Xbox Series X Game of 2021
#13 Most Discussed Xbox Series X Game of 2021"
tony-hawks-pro-skater-1-+-2,https://www.metacritic.com/game/xbox-series-x/tony-hawks-pro-skater-1-+-2,Activision,Vicarious Visions,"Mar 26, 2021","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","Drop back in with the most iconic skateboarding games ever made. Play Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered, plus more.",89,generally favorable reviews,8,8,0,0,6.8,mixed or average reviews,36.0,9.0,2.0,0.0,"Sports, Individual, Skate / Skateboard",8,T,"#5 Best Xbox Series X Game of 2021
#50 Most Discussed Xbox Series X Game of 2021"
tetris-effect-connected,https://www.metacritic.com/game/xbox-series-x/tetris-effect-connected,Enhance Games,"Monstars Inc., Resonair","Nov 10, 2020","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","Tetris® Effect: Connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that Tetris Effect is known for with all-new co-op and competitive online and local multiplayer modes. Tetris Effect is Tetris® like you've never seen it, or heard it, or felt it before—an incredibly addictive, unique, and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time, from the people who brought you the award-winning Rez Infinite and legendary puzzle game Lumines. Music, backgrounds, sounds, special effects—everything, down to the Tetris pieces themselves, pulse, dance, shimmer, and explode in perfect sync with how you're playing, making any of the game's 30+ stages and 10+ modes something you'll want to experience over and over again. A challenge for the mind and a feast for all the senses, Tetris Effect: Connected is the perfect excuse to play Tetris again... and again...and again, and again, and again and again and again and again and again and again and... Game leverages Smart Delivery allowing access to both the Xbox One title and the Xbox Series X|S title when available. Collapse",88,generally favorable reviews,25,25,0,0,7.8,generally favorable reviews,86.0,17.0,2.0,1.0,"Puzzle, Stacking",4,E,"#1 Best Xbox Series X Game of 2020
#11 Most Discussed Xbox Series X Game of 2020"
immortality,https://www.metacritic.com/game/xbox-series-x/immortality,Half Mermaid,Sam Barlow,"Aug 30, 2022","iPhone/iPad, PC","Marissa Marcel was a film star. She made three movies. But none of the movies was ever released. And Marissa Marcel disappeared. An interactive trilogy from Sam Barlow, creator of Her Story.",88,generally favorable reviews,14,13,1,0,7.3,mixed or average reviews,71.0,21.0,1.0,6.0,"Adventure, General",,,"#6 Best Xbox Series X Game of 2022
#33 Most Discussed Xbox Series X Game of 2022"
f1-2021,https://www.metacritic.com/game/xbox-series-x/f1-2021,Electronic Arts,Codemasters,"Jul 13, 2021","PC, PlayStation 4, PlayStation 5, Xbox One","Every story has a beginning in F1® 2021, the official videogame of the 2021 FIA FORMULA ONE WORLD CHAMPIONSHIP™. Enjoy the stunning new features of F1® 2021, including the thrilling story experience ‘Braking Point’, two-player Career, and get even closer to the grid with ‘Real-Season Start’.",88,generally favorable reviews,15,15,0,0,5.8,mixed or average reviews,44.0,5.0,2.0,9.0,"Racing, Simulation, Automobile",20,E,"#6 Best Xbox Series X Game of 2021
#38 Most Discussed Xbox Series X Game of 2021"
hi-fi-rush,https://www.metacritic.com/game/xbox-series-x/hi-fi-rush,Bethesda Softworks,Tango Gameworks,"Jan 25, 2023",PC,"Feel the beat as wannabe rockstar Chai and his ragtag team fight against an evil megacorp with raucous rhythm combat! From Tango Gameworks comes Hi-Fi RUSH, an all-new action game where the world syncs to the music.",87,generally favorable reviews,53,50,3,0,9.0,universal acclaim,2443.0,1311.0,35.0,53.0,"Action, Platformer, 3D",No Online Multiplayer,T,"#5 Best Xbox Series X Game of 2023
#1 Most Discussed Xbox Series X Game of 2023"
return-to-monkey-island,https://www.metacritic.com/game/xbox-series-x/return-to-monkey-island,Devolver Digital,Terrible Toybox,"Nov 8, 2022","PC, PlayStation 5, Switch, Xbox One","It's been many years since Guybrush Threepwood was last locked in a battle of wits with his nemesis, the zombie pirate LeChuck. His true love, Elaine Marley, has turned her focus away from governing and Guybrush himself is adrift and unfulfilled, having never found the Secret of Monkey Island. Hip, young pirate leaders led by Captain Madison have shuffled the old guard from power, Melee Island has taken a turn for the worse, and famed businessman Stan has been imprisoned for 'marketing-related crimes'.

Banter with old friends and new faces on familiar islands now under dangerous new leadership. Then, take to the high seas and explore the new and unknown as you work your way out of tough predicaments. Clever puzzles, bizarre situations, and devastating ripostes are all that stand between Guybrush and glory. Collapse",87,generally favorable reviews,7,7,0,0,8.0,generally favorable reviews,24.0,5.0,2.0,0.0,"Adventure, Point-and-Click",No Online Multiplayer,E10+,"#7 Best Xbox Series X Game of 2022
#63 Most Discussed Xbox Series X Game of 2022"
atari-50-the-anniversary-celebration,https://www.metacritic.com/game/xbox-series-x/atari-50-the-anniversary-celebration,"Atari , Atari SA",Digital Eclipse,"Nov 11, 2022","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","It has been five decades since a small team in Silicon Valley first combined their creativity, curiosity and passion into making video games and hardware. The result of their efforts was Atari, one of the most recognizable and enduring entertainment and pop culture brands in the world.

Atari 50: The Anniversary Celebration takes players on an interactive journey through 50 years of video games via interviews with designers, developers and industry leaders, documentary footage, product design documents, high-resolution original artwork, and a specially-curated list of more than 90 playable games. Collapse",87,generally favorable reviews,9,9,0,0,tbd,no user score yet,3.0,0.0,0.0,0.0,"Miscellaneous, Compilation",No Online Multiplayer,T,#8 Best Xbox Series X Game of 2022
psychonauts-2,https://www.metacritic.com/game/xbox-series-x/psychonauts-2,Xbox Game Studios,Double Fine Productions,"Aug 25, 2021","PC, PlayStation 4, Xbox One","Razputin Aquato, trained acrobat and powerful young psychic, has realized his life long dream of joining the international psychic espionage organization known as the Psychonauts! But these psychic super spies are in trouble. Their leader hasn't been the same since he was kidnapped, and what's worse, there's a mole hiding in headquarters. Raz must use his powers to stop the mole before they execute their secret plan--to bring the murderous psychic villain, Maligula, back from the dead. Collapse",87,generally favorable reviews,67,64,3,0,7.7,generally favorable reviews,1687.0,687.0,19.0,140.0,"Action, Action Adventure, Platformer, Open-World, 3D",No Online Multiplayer,T,"#7 Best Xbox Series X Game of 2021
#3 Most Discussed Xbox Series X Game of 2021"
hitman-3,https://www.metacritic.com/game/xbox-series-x/hitman-3,Io Interactive,Io Interactive,"Jan 20, 2021","PC, PlayStation 4, PlayStation 5, Stadia, Switch, Xbox One","Death Awaits
HITMAN 3 is the dramatic conclusion to the World of Assassination trilogy and takes players around the world on a globetrotting adventure to sprawling sandbox locations. Agent 47 returns as a ruthless professional for the most important contracts of his entire career.

Supported by his Agency handler, Diana Burnwood, 47 joins forces with his long-lost friend Lucas Grey. Their ultimate mission is to eliminate the partners of Providence, but they are forced to adapt as their hunt intensifies. When the dust settles, 47 and the world he inhabits will never be the same again.
Top of the World
Every mission location in HITMAN 3 is meticulously detailed and packed full of creative opportunities. Players will have unrivalled freedom to complete their objectives and the game world will react to everything they do.
A Platform of Assassination
The World of Assassination trilogy is fully realised with HITMAN 3 as the ultimate place to play all three games. Players of previous HITMAN games will be pleased to know that it will be possible to 'import' locations that they own from the previous two HITMAN games into HITMAN 3, essentially putting all 20+ locations from the entire trilogy in one place.

Playing the entire trilogy from beginning to end, from within HITMAN 3, also means that the progression systems in HITMAN 3 work across all locations. You can unlock an item in Dubai and take it with you to Paris, for example. HITMAN 2 players will have the option to carry over their hard-earned unlocks and progression into HITMAN 3. Collapse",87,generally favorable reviews,33,32,1,0,8.3,generally favorable reviews,224.0,45.0,8.0,11.0,"Action Adventure, General",No Online Multiplayer,M,"#8 Best Xbox Series X Game of 2021
#22 Most Discussed Xbox Series X Game of 2021"
deaths-door,https://www.metacritic.com/game/xbox-series-x/deaths-door,Devolver Digital,Acid Nerve,"Jul 20, 2021","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","Reaping souls of the dead and punching a clock might get monotonous but it's honest work for a Crow. The job gets lively when your assigned soul is stolen and you must track down a desperate thief to a realm untouched by death - where creatures grow far past their expiry and overflow with greed and power. Talon Sharp Combat: Utilise melee weapons, arrows and magic to overcome a fantastic array of beasts and demigods. Mistakes are punished and victory is rewarded. Gain an edge by customising your character stats and mastering the abilities and upgrades you obtain.

A Beautifully Bleak World: Venture beyond the Doors and explore a land full of twisted inhabitants and countless secrets, bringing hope to the weird and wonderful characters you’ll meet along the way.

A Dark Mystery to Unravel: Track down and defeat colossal tyrants with stories and motivations of their own. Experience a somber yet darkly comedic tale, uncovering the truths behind the flow of souls, the role of the Crows and the origin of the Doors. Collapse",87,generally favorable reviews,30,30,0,0,8.3,generally favorable reviews,185.0,62.0,5.0,3.0,"Action Adventure, General",No Online Multiplayer,E10+,"#9 Best Xbox Series X Game of 2021
#19 Most Discussed Xbox Series X Game of 2021"
tales-of-arise,https://www.metacritic.com/game/xbox-series-x/tales-of-arise,Bandai Namco Games,Bandai Namco Games,"Sep 10, 2021","PC, PlayStation 4, PlayStation 5, Xbox One","
Challenge the Fate That Binds You

On the planet Dahna, reverence has always been given to Rena, the planet in the sky, as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.

Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a new cast of characters, updated combat, and classic Tales of gameplay mechanics, experience the next chapter in the world-famous Tale of series, Tales of Arise.

The Next Chapter
Experience the next chapter in the Tales of series, brought to life in stunning HD powered by Unreal Engine 4

Dynamic Action
Dynamic Action RPG featuring an updated battle system that retains classic Tales of gameplay

A New Tale Awaits
Rich story featuring a vibrant world and new cast of characters

Stunning Visuals
High quality animation created by Ufotable Collapse",87,generally favorable reviews,15,13,2,0,8.5,generally favorable reviews,121.0,25.0,7.0,2.0,"Role-Playing, Japanese-Style",No Online Multiplayer,T,"#10 Best Xbox Series X Game of 2021
#27 Most Discussed Xbox Series X Game of 2021"
persona-3-portable,https://www.metacritic.com/game/xbox-series-x/persona-3-portable,"Sega , Atlus",Atlus,"Jan 19, 2023","PC, PlayStation 4, Switch, Xbox One","Terrible creatures lurk in the dark, preying on those who wander into the hidden hour between one day and the next. As a member of a secret school club, you must wield your inner power--Persona--and protect humanity from impending doom. Will you live to see the light of day?",87,generally favorable reviews,9,9,0,0,6.1,mixed or average reviews,25.0,4.0,1.0,1.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#6 Best Xbox Series X Game of 2023
#10 Most Discussed Xbox Series X Game of 2023"
halo-infinite,https://www.metacritic.com/game/xbox-series-x/halo-infinite,Xbox Game Studios,343 Industries,"Dec 8, 2021","PC, Xbox One","When all hope is lost and humanity’s fate hangs in the balance, the Master Chief is ready to confront the most ruthless foe he’s ever faced. Begin anew and step inside the armor of humanity’s greatest hero to experience an epic adventure and finally explore the scale of the Halo ring itself.",87,generally favorable reviews,98,94,4,0,7.9,generally favorable reviews,5334.0,2260.0,161.0,396.0,"Action, Shooter, First-Person, Arcade",24,T,"#11 Best Xbox Series X Game of 2021
#1 Most Discussed Xbox Series X Game of 2021"
monster-hunter-rise,https://www.metacritic.com/game/xbox-series-x/monster-hunter-rise,Capcom,Capcom,"Jan 20, 2023","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","
Rise to the challenge and join the hunt!

Set in the ninja-inspired land of Kamura Village, explore lush ecosystems and battle fearsome monsters to become the ultimate hunter. It's been half a century since the last calamity struck, but a terrifying new monster has reared its head and threatens to plunge the land into chaos once again.

Hunt solo or in a party with friends to earn rewards that you can use to craft a huge variety of weapons and armor. Brand new gameplay systems such as the high-flying 'Wire Action' and your canine companion 'Palamute' will add exciting new layers to the already robust combat that Monster Hunter is known for. Collapse",87,generally favorable reviews,13,13,0,0,2.5,generally unfavorable reviews,143.0,13.0,5.0,0.0,"Role-Playing, Action RPG",4,T,"#7 Best Xbox Series X Game of 2023
#7 Most Discussed Xbox Series X Game of 2023"
age-of-empires-ii-definitive-edition,https://www.metacritic.com/game/xbox-series-x/age-of-empires-ii-definitive-edition,Xbox Game Studios,Forgotten Empires LLC,"Jan 31, 2023","PC, Xbox One","
Age of Empires II: Definitive Edition celebrates the 20th anniversary of one of the most popular strategy games ever with stunning 4K Ultra HD graphics, a new and fully remastered soundtrack, and brand-new content, ""The Last Khans"" with 3 new campaigns and 4 new civilizations.

Explore all the original campaigns like never before as well as the best-selling expansions, spanning over 200 hours of gameplay and 1,000 years of human history. Head online to challenge other players with 35 different civilizations in your quest for world domination throughout the ages.

Choose your path to greatness with this definitive remaster to one of the most beloved strategy games of all time. Collapse",86,generally favorable reviews,16,16,0,0,8.6,generally favorable reviews,80.0,34.0,0.0,1.0,"Strategy, Real-Time, Command",8,T,"#8 Best Xbox Series X Game of 2023
#4 Most Discussed Xbox Series X Game of 2023"
